date,stock_code,buy_count,sell_count,is_top_recommended,is_top_not_recommended,recommended_view_sum,not_recommended_view_sum,return_5d
2026-04-02,8027,1,0,0,0,0,0,-0.061488673139158574
2026-04-02,8039,2,0,0,0,0,0,0.09836065573770492
2026-04-02,8046,4,2,0,0,0,0,0.15316901408450703
2026-04-02,8064,1,0,0,0,0,0,0.25757575757575757
2026-04-02,8069,0,1,0,0,0,0,0.04225352112676056
2026-04-02,8086,1,0,0,0,0,0,0.10358565737051793
2026-04-02,8110,0,3,0,0,0,0,-0.0010266783629826169
2026-04-02,8131,0,1,0,0,0,0,0.06791171301145925
2026-04-02,8150,1,1,0,0,0,0,0.10934745466514931
2026-04-02,8210,0,1,0,0,0,0,0.07015457788347206
2026-04-02,8215,1,0,0,0,0,0,0.05785122208236751
2026-04-02,8271,1,1,0,0,0,0,0.07216494845360824
2026-04-02,8299,3,2,0,0,0,0,0.10610932475884244
2026-04-02,8358,1,1,0,0,0,0,0.24782608695652175
2026-04-02,8996,3,0,0,0,0,0,0.2644341801385681
2026-04-03,0050,1,0,0,0,0,0,
2026-04-03,1303,0,1,0,0,0,0,
2026-04-03,1309,1,0,0,0,0,0,
2026-04-03,1802,0,1,0,0,0,0,
2026-04-03,1815,0,1,0,0,0,0,
2026-04-03,2303,1,0,0,0,0,0,
2026-04-03,2308,1,1,0,0,0,0,
2026-04-03,2317,3,1,0,0,0,0,
2026-04-03,2327,1,0,0,0,0,0,
2026-04-03,2330,2,0,0,0,0,0,
2026-04-03,2337,1,1,0,0,0,0,
2026-04-03,2344,2,2,0,0,0,0,
2026-04-03,2368,1,0,0,0,0,0,
2026-04-03,2382,1,1,0,0,0,0,
2026-04-03,2383,1,0,0,0,0,0,
2026-04-03,2408,1,3,0,0,0,0,
2026-04-03,2409,2,0,0,0,0,0,
2026-04-03,2421,0,1,0,0,0,0,
2026-04-03,2449,0,1,0,0,0,0,
2026-04-03,2454,4,1,0,0,0,0,
2026-04-03,2492,1,0,0,0,0,0,
2026-04-03,3006,0,2,0,0,0,0,
2026-04-03,3037,1,1,0,0,0,0,
2026-04-03,3081,1,0,0,0,0,0,
2026-04-03,3163,2,0,0,0,0,0,
2026-04-03,3189,1,0,0,0,0,0,
2026-04-03,3231,0,1,0,0,0,0,
2026-04-03,3260,0,1,0,0,0,0,
2026-04-03,3324,0,1,0,0,0,0,
2026-04-03,3481,1,1,0,0,0,0,
2026-04-03,3653,0,1,0,0,0,0,
2026-04-03,3665,1,0,0,0,0,0,
2026-04-03,3711,0,1,0,0,0,0,
2026-04-03,3714,0,1,0,0,0,0,
2026-04-03,4958,2,0,0,0,0,0,
2026-04-03,4979,1,0,0,0,0,0,
2026-04-03,5243,0,1,0,0,0,0,
2026-04-03,5443,0,1,0,0,0,0,
2026-04-03,6116,0,1,0,0,0,0,
2026-04-03,6147,1,0,0,0,0,0,
2026-04-03,6173,1,0,0,0,0,0,
2026-04-03,6213,1,0,0,0,0,0,
2026-04-03,6223,0,1,0,0,0,0,
2026-04-03,6415,1,0,0,0,0,0,
2026-04-03,6438,1,0,0,0,0,0,
2026-04-03,6442,1,0,0,0,0,0,
2026-04-03,6515,0,1,0,0,0,0,
2026-04-03,6770,0,2,0,0,0,0,
2026-04-03,8046,1,0,0,0,0,0,
2026-04-03,8110,0,1,0,0,0,0,
2026-04-03,8299,2,1,0,0,0,0,
2026-04-03,8358,0,1,0,0,0,0,
2026-04-06,6188,0,1,0,1,0,24652,
2026-04-06,6290,0,1,0,1,0,24652,
2026-04-06,8358,0,1,0,1,0,24652,
2026-04-07,1303,1,0,1,0,0,0,
2026-04-07,1785,1,0,1,0,20052,0,
2026-04-07,2049,1,0,1,0,0,0,
2026-04-07,2313,1,0,1,0,0,0,
2026-04-07,2317,1,0,1,0,20052,0,
2026-04-07,2330,1,0,0,0,17688,0,
2026-04-07,2337,1,1,0,1,0,17688,
2026-04-07,2344,1,0,0,0,0,0,
2026-04-07,2367,1,0,0,0,0,0,
2026-04-07,2368,1,0,0,0,0,0,
2026-04-07,2383,1,0,0,0,0,0,
2026-04-07,2405,0,1,0,1,0,17688,
2026-04-07,2408,2,1,1,1,21998,17688,
2026-04-07,2409,1,1,0,1,0,20052,
2026-04-07,2426,1,0,0,0,0,0,
2026-04-07,2451,1,0,0,0,0,0,
2026-04-07,2467,1,0,0,0,0,0,
2026-04-07,2481,1,0,0,0,0,0,
2026-04-07,3006,1,0,0,0,0,0,
2026-04-07,3017,1,0,0,0,0,0,
2026-04-07,3037,1,0,0,0,0,0,
2026-04-07,3081,1,0,0,0,0,0,
2026-04-07,3105,2,0,1,0,0,0,
2026-04-07,3131,1,0,0,0,0,0,
2026-04-07,3163,1,0,0,0,0,0,
2026-04-07,3189,1,0,0,0,0,0,
2026-04-07,3211,1,0,0,0,0,0,
2026-04-07,3231,1,0,0,0,20052,0,
2026-04-07,3260,1,0,0,0,0,0,
2026-04-07,3324,1,0,0,0,0,0,
2026-04-07,3339,1,0,0,0,0,0,
2026-04-07,3363,1,0,0,0,0,0,
2026-04-07,3437,1,0,0,0,0,0,
2026-04-07,3481,1,0,0,0,0,0,
2026-04-07,3490,1,0,0,0,20052,0,
2026-04-07,3491,2,0,1,0,0,0,
2026-04-07,3498,1,0,0,0,0,0,
2026-04-07,3653,1,0,0,0,0,0,
2026-04-07,3714,1,0,0,0,0,0,
2026-04-07,4510,1,0,0,0,0,0,
2026-04-07,4526,1,0,0,0,0,0,
2026-04-07,4576,1,0,0,0,0,0,
2026-04-07,4967,1,0,0,0,0,0,
2026-04-07,4971,1,0,0,0,0,0,
2026-04-07,4979,1,0,0,0,0,0,
2026-04-07,5289,1,0,0,0,0,0,
2026-04-07,5443,1,0,0,0,0,0,
2026-04-07,5475,1,0,0,0,0,0,
2026-04-07,6116,0,1,0,1,0,20052,
2026-04-07,6147,1,0,0,0,0,0,
2026-04-07,6187,2,0,1,0,19634,0,
2026-04-07,6196,1,0,0,0,0,0,
2026-04-07,6223,1,0,0,0,0,0,
2026-04-07,6274,1,0,0,0,0,0,
2026-04-07,6285,1,0,0,0,0,0,
2026-04-07,6438,1,0,0,0,0,0,
2026-04-07,6510,1,0,0,0,0,0,
2026-04-07,6515,1,0,0,0,0,0,
2026-04-07,6531,1,0,0,0,0,0,
2026-04-07,6588,1,0,0,0,0,0,
2026-04-07,6640,2,0,1,0,19634,0,
2026-04-07,6669,1,0,0,0,20052,0,
2026-04-07,6770,1,1,0,1,0,17688,
2026-04-07,8028,1,0,0,0,0,0,
2026-04-07,8046,1,0,0,0,0,0,
2026-04-07,8110,0,1,0,1,0,17688,
2026-04-07,8147,1,0,0,0,0,0,
2026-04-07,8215,1,0,0,0,0,0,
2026-04-07,8271,1,0,0,0,0,0,
2026-04-07,8299,0,1,0,1,0,17688,
2026-04-07,8358,1,0,0,0,20052,0,
2026-04-07,8996,1,0,0,0,0,0,
2026-04-08,0056,0,1,0,1,0,0,
2026-04-08,00878,0,1,0,1,0,0,
2026-04-08,2303,1,0,0,0,83117,0,
2026-04-08,2308,2,1,1,1,0,0,
2026-04-08,2317,2,1,1,1,113326,0,
2026-04-08,2330,2,1,1,1,113326,0,
2026-04-08,2337,0,1,0,0,0,83117,
2026-04-08,2344,2,1,1,1,0,157585,
2026-04-08,2345,1,0,0,0,0,0,
2026-04-08,2360,1,0,0,0,0,0,
2026-04-08,2382,2,1,1,0,113326,0,
2026-04-08,2383,2,0,1,0,0,0,
2026-04-08,2408,1,2,0,1,0,175013,
2026-04-08,2409,0,1,0,0,0,83117,
2026-04-08,2454,2,1,1,0,0,0,
2026-04-08,2455,1,0,0,0,0,0,
2026-04-08,2481,1,0,0,0,0,0,
2026-04-08,3008,1,0,0,0,91906,0,
2026-04-08,3016,0,1,0,0,0,83117,
2026-04-08,3017,1,0,0,0,0,0,
2026-04-08,3034,1,0,0,0,83117,0,
2026-04-08,3037,2,1,1,1,0,128510,
2026-04-08,3081,1,0,0,0,0,0,
2026-04-08,3105,2,0,1,0,0,0,
2026-04-08,3131,1,0,0,0,0,0,
2026-04-08,3163,1,1,0,0,0,83117,
2026-04-08,3167,1,0,0,0,0,0,
2026-04-08,3189,1,1,0,1,0,128510,
2026-04-08,3231,1,1,0,0,0,0,
2026-04-08,3260,0,1,0,0,0,83117,
2026-04-08,3363,1,0,0,0,0,0,
2026-04-08,3376,1,0,0,0,91906,0,
2026-04-08,3406,1,0,0,0,0,0,
2026-04-08,3450,1,0,0,0,0,0,
2026-04-08,3481,0,1,0,0,0,0,
2026-04-08,3545,1,0,0,0,0,0,
2026-04-08,3661,1,0,0,0,0,0,
2026-04-08,3665,1,0,0,0,0,0,
2026-04-08,3673,1,0,0,0,91906,0,
2026-04-08,4958,1,0,0,0,91906,0,
2026-04-08,4961,1,0,0,0,0,0,
2026-04-08,4977,1,0,0,0,0,0,
2026-04-08,4979,1,0,0,0,0,0,
