code,name,english_name
2727,王品餐飲股份有限公司,WOWPRIME
2729,瓦城泰統股份有限公司,瓦城
2731,雄獅旅行社股份有限公司,Liontravel
2732,六角國際事業股份有限公司,六角
2734,易飛網國際旅行社股份有限公司,易飛網
2736,富野大飯店股份有限公司,富野
2739,寒舍餐旅管理顧問股份有限公司,My Humble House
2740,華軒地產股份有限公司,華軒
2743,山富國際旅行社股份有限公司,山富
2745,五福旅行社股份有限公司,五福
2748,雲品國際酒店股份有限公司,FDC
2751,王座國際餐飲股份有限公司,王座
2752,豆府股份有限公司,豆府
2753,八方雲集國際股份有限公司,Bafang
2754,亞洲藏壽司股份有限公司,亞洲藏壽司
2755,揚秦國際企業股份有限公司,揚秦
2756,聯發國際餐飲事業股份有限公司,聯發國際
2762,世界健身股份有限公司,World Gym
2801,彰化商業銀行股份有限公司,CHANG HWA BANK
2812,台中商業銀行股份有限公司,T.C.C.B.
2816,旺旺友聯產物保險股份有限公司,UNION INS.
2820,中華票券金融股份有限公司,CBF
2832,台灣產物保險股份有限公司,TFMI
2834,臺灣中小企業銀行股份有限公司,TBB
2836,高雄銀行股份有限公司,B.O.K
2838,聯邦商業銀行股份有限公司,UBOT
2845,遠東國際商業銀行股份有限公司,FEIB
2849,安泰商業銀行股份有限公司,EnTie Bank
2850,新光產物保險股份有限公司,SK Insurance
2851,中央再保險股份有限公司,Central Re
2852,第一產物保險股份有限公司,FIRST INS
2855,統一綜合證券股份有限公司,PSC
2867,三商美邦人壽保險股份有限公司,Mercuries Life
2880,華南金融控股股份有限公司,HNFHC
2881,富邦金融控股股份有限公司,Fubon Financial
2882,國泰金融控股股份有限公司,CATHAY FHC
2883,凱基金融控股股份有限公司,KGI Financial
2884,玉山金融控股股份有限公司,E.S.F.H
2885,元大金融控股股份有限公司,Yuanta Group
2886,兆豐金融控股股份有限公司,MEGA FHC
2887,台新新光金融控股股份有限公司,TS Holdings
2889,國票金融控股股份有限公司,IBF
2890,永豐金融控股股份有限公司,SINOPACHOLDINGS
2891,中國信託金融控股股份有限公司,CTBC HOLDING
2892,第一金融控股股份有限公司,FFHC
2897,王道商業銀行股份有限公司,O-Bank
2901,欣欣大眾市場股份有限公司,SHIN SHIN
2903,遠東百貨股份有限公司,FEDS
2904,匯僑股份有限公司,POCS
2905,三商投資控股股份有限公司,MERCURIES
2906,高林實業股份有限公司,Collins
2908,特力股份有限公司,Test Rite
2910,統領百貨股份有限公司,TONLIN
2911,麗嬰房股份有限公司,Les enphants
2912,統一超商股份有限公司,PCSC
2913,台灣農林股份有限公司,TTC
2915,潤泰全球股份有限公司,RUENTEX IND.LTD
2916,滿心企業股份有限公司,滿心
2923,鼎固控股有限公司,Sino Horizon
2924,開曼群島宏太股份有限公司,宏太-KY
2926,誠品生活股份有限公司,誠品生活
2929,淘帝國際控股有限公司,TOPBI
2937,集雅社股份有限公司,集雅社
2939,永邑國際集團股份有限公司,Vitafoss-KY
2941,米斯特國際企業股份有限公司,米斯特
2945,三商家購股份有限公司,Simple Mart
2947,振宇五金股份有限公司,振宇五金
2948,寶陞國際股份有限公司,寶陞
2949,欣新網股份有限公司,欣新網
3002,歐格電子股份有限公司,AHOKU
3003,健和興端子股份有限公司,KST
3004,豐達科技股份有限公司,NAFCO
3005,神基控股股份有限公司,Getac
3006,晶豪科技股份有限公司,ESMT
3008,大立光電股份有限公司,LARGAN
3010,華立企業股份有限公司,WAH LEE
3011,今皓實業股份有限公司,JH
3013,晟銘電子科技股份有限公司,UNEEC
3014,聯陽半導體股份有限公司,ITE
3015,全漢企業股份有限公司,FSP
3016,嘉晶電子股份有限公司,EPi
3017,奇鋐科技股份有限公司,AVC
3018,隆銘綠能科技工程股份有限公司,LUNG MING
3019,亞洲光學股份有限公司,ASIA
3021,鴻名企業股份有限公司,WELLTEND
3022,威強電工業電腦股份有限公司,IEI
3023,信邦電子股份有限公司,SINBON
3024,憶聲電子股份有限公司,ACTION
3025,星通資訊股份有限公司,LOOP
3026,禾伸堂企業股份有限公司,HOLY STONE
3027,盛達電業股份有限公司,BILLION
3028,增你強股份有限公司,ZENITRON
3029,零壹科技股份有限公司,ZERO ONE
3030,德律科技股份有限公司,TRI
3031,佰鴻工業股份有限公司,BRIGHT
3032,偉訓科技股份有限公司,COMPUCASE
3033,威健實業股份有限公司,Weikeng
3034,聯詠科技股份有限公司,NOVATEK
3035,智原科技股份有限公司,Faraday
3036,文曄科技股份有限公司,WT
3037,欣興電子股份有限公司,UNIMICRON
3038,全台晶像股份有限公司,EDT
3040,遠見科技股份有限公司,G.V.
3041,揚智科技股份有限公司,ALi
3042,台灣晶技股份有限公司,TXC
3043,科風股份有限公司,PCM
3044,健鼎科技股份有限公司,Tripod
3045,台灣大哥大股份有限公司,TWM
3046,建碁股份有限公司,AOPEN
3047,訊舟科技股份有限公司,EDIMAX
3048,益登科技股份有限公司,EDOM
3049,精金科技股份有限公司,HannsTouch
3050,鈺德科技股份有限公司,U-TECH
3051,力特光電科技股份有限公司,Optimax
3052,夆典科技開發股份有限公司,APEX
3054,立萬利創新股份有限公司,LIWANLI
3055,蔚華科技股份有限公司,Spirox Corp.
3056,富華創新股份有限公司,Fu Hua
3057,喬鼎資訊股份有限公司,Promise
3058,立德電子股份有限公司,LEI
3059,華晶科技股份有限公司,Altek
3060,銘異科技股份有限公司,MIN AIK
3062,建漢科技股份有限公司,CyberTAN
3064,泰偉電子股份有限公司,泰偉
3066,李洲科技股份有限公司,李洲
3067,全域股份有限公司,全域
3071,協禧電機股份有限公司,協禧
3073,天方能源科技股份有限公司,天方能源
3078,僑威科技股份有限公司,僑威
3081,聯亞光電工業股份有限公司,聯亞
